i0	p0	q0	v0	i1	p1	q1	v1
0.0	0.0	0.0	21116.361237805213	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21112.69677230551	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21109.67212816966	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21109.25325048948	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21102.88404615774	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21088.616028336895	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21070.868422698044	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21034.779698443162	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21015.6207137368	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21022.253708826196	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21045.44089918533	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21046.78366515808	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21030.956208165255	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21025.332832894317	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21024.003566539388	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21020.903673346882	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20970.0313050854	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20927.11641660042	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20904.327213343993	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20925.009919170683	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20949.848582991122	0.0	0.0	0.0	0.0
0.0	0.0	0.0	20970.433872057634	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21006.81455879086	0.0	0.0	0.0	0.0
0.0	0.0	0.0	21022.253708826196	0.0	0.0	0.0	0.0
