i0	p0	q0	v0	i1	p1	q1	v1
84.00606272799355	52.05842177365716	25.206114438050882	397.51594163295323	0.0	0.0	0.0	0.0
89.92612575364828	55.70455532151263	26.978834379985265	397.375736361556	0.0	0.0	0.0	0.0
94.00393563900025	58.21642935247184	28.195371518686866	397.27936232892694	0.0	0.0	0.0	0.0
95.04372476351631	58.856710908713225	28.505468842951082	397.2546657138454	0.0	0.0	0.0	0.0
100.96515428038079	62.50139001225196	30.2706349427429	397.1134192652181	0.0	0.0	0.0	0.0
117.87197594119404	72.89364521783787	35.303709111978534	396.7119469823751	0.0	0.0	0.0	0.0
142.211743200636	87.81710231317174	42.53118361795173	396.1315016447198	0.0	0.0	0.0	0.0
178.81808466753304	110.1776027888592	53.36010501658085	395.25435678678116	0.0	0.0	0.0	0.0
204.46135908770654	125.79052240303747	60.921006681423236	394.66686323215754	0.0	0.0	0.0	0.0
197.15255314790983	121.35787456235047	58.77452863727065	394.87526534360313	0.0	0.0	0.0	0.0
170.70142598354806	105.25244618179624	50.975104576723105	395.5399216453498	0.0	0.0	0.0	0.0
168.8317316876878	104.11966331689206	50.42656022802828	395.6162117310194	0.0	0.0	0.0	0.0
183.7657520880682	113.2313367058849	54.839225908892374	395.2729503341412	0.0	0.0	0.0	0.0
193.0724531584746	118.89532781684883	57.582141167165574	395.03829283847443	0.0	0.0	0.0	0.0
194.22324652002078	119.58482612000803	57.91596580691784	394.97484588283675	0.0	0.0	0.0	0.0
198.85841162369235	122.39215849912108	59.27537307337558	394.82433187116374	0.0	0.0	0.0	0.0
249.66271114795774	153.17448940224136	74.18127913505066	393.5723717593343	0.0	0.0	0.0	0.0
293.504464919043	179.57304746019497	86.96266873433771	392.4779060679637	0.0	0.0	0.0	0.0
314.19771764481317	191.98417667398687	92.97111280944603	391.9669512841405	0.0	0.0	0.0	0.0
297.11599106906226	181.7400676794631	88.01177057737064	392.3856541938572	0.0	0.0	0.0	0.0
272.9536591112696	167.21104960951067	80.97749804836053	392.9762307950532	0.0	0.0	0.0	0.0
249.19225374725343	152.8789255490405	74.03801999944643	393.55442057576806	0.0	0.0	0.0	0.0
212.91279103570602	130.91268667125792	63.40134094721382	394.4332385433141	0.0	0.0	0.0	0.0
155.41582848831837	95.89447330063324	46.44301108739063	395.8163853039887	0.0	0.0	0.0	0.0
81.29141914353987	50.38423916134512	24.395857633913586	397.5808119559908	0.0	0.0	0.0	0.0
87.01159945614323	53.911480091127295	26.102903433526304	397.44486364361774	0.0	0.0	0.0	0.0
90.96417319453035	56.34414398155647	27.288596710907825	397.3515541995149	0.0	0.0	0.0	0.0
91.97012478007149	56.96383363846454	27.588721501118883	397.3277803238038	0.0	0.0	0.0	0.0
97.69881735657627	60.49129737697789	29.297121252206175	397.1915766671111	0.0	0.0	0.0	0.0
114.05498248905272	70.54933103151393	34.168338639547436	396.80292848050044	0.0	0.0	0.0	0.0
137.59964190524497	84.99284185381734	41.16339741049455	396.242338989212	0.0	0.0	0.0	0.0
173.00575854191152	106.63422208757886	51.64412176088881	395.3948509048855	0.0	0.0	0.0	0.0
197.8058776860212	121.74502921808534	58.961932685689874	394.8264907215513	0.0	0.0	0.0	0.0
190.73772980610516	117.45493289405331	56.884456507540875	395.0292430487664	0.0	0.0	0.0	0.0
165.15619392419364	101.8674558868183	49.33579502196254	395.6726299850252	0.0	0.0	0.0	0.0
163.34798640634506	100.77110254020567	48.804885134070766	395.74711463077216	0.0	0.0	0.0	0.0
177.791589679036	109.58974135167716	53.075667010367226	395.41568542149554	0.0	0.0	0.0	0.0
186.79194420248234	115.07157818630213	55.73039436850302	395.188996436905	0.0	0.0	0.0	0.0
187.90496713968946	115.73890409388744	56.053491946462714	395.12624892257156	0.0	0.0	0.0	0.0
192.38682689879198	118.45595491456373	57.36920086782928	394.98088249597913	0.0	0.0	0.0	0.0
241.51208013242007	148.24834504483908	71.79597079783159	393.77059812236365	0.0	0.0	0.0	0.0
283.895853044435	173.79797621122776	84.16668096889981	392.7128908388302	0.0	0.0	0.0	0.0
303.8984694512493	185.8100007887337	89.9821314688675	392.21887261253755	0.0	0.0	0.0	0.0
287.3872803972856	175.89531118283458	85.18208232298244	392.62317159658403	0.0	0.0	0.0	0.0
264.03034395737274	161.83351366328347	78.37380284817391	393.19269146957953	0.0	0.0	0.0	0.0
241.05807842895462	147.96228939106115	71.65732486766622	393.7508588967041	0.0	0.0	0.0	0.0
205.97883307879619	126.70246817688192	61.36253647914351	394.5992840700564	0.0	0.0	0.0	0.0
150.37214046648796	92.81044129837878	44.94943720939378	395.93602051979457	0.0	0.0	0.0	0.0
