i0	p0	q0	v0	i1	p1	q1	v1
91.44317802079276	-279.97928401020454	-151.11722738125826	2008.7758152576325	91.44317802079276	-279.9792840102046	-151.11722740634386	2008.775815332861
91.45051578357831	-280.00028364918217	-151.12823721879548	2008.7651715755792	91.45051578357831	-280.00028364918217	-151.12823724388508	2008.7651716508135
91.45073666754264	-279.99997393224453	-151.12796012595382	2008.7575948765898	91.45073666754264	-279.99997393224453	-151.1279601510435	2008.757594951824
91.45087937598157	-280.00010495367235	-151.12801485791192	2008.7556582856187	91.45087937598157	-280.0001049536724	-151.1280148830017	2008.7556583608534
91.45134659551204	-280.000214918776	-151.12814355626696	2008.7445051801317	91.45134659551204	-280.00021491877607	-151.12814358135702	2008.7445052553667
91.45291645165419	-280.00024798759046	-151.12799903878133	2008.712743532436	91.45291645165419	-280.0002479875904	-151.12799906387218	2008.712743607672
91.45488913317459	-279.99993070430395	-151.1276623693984	2008.666771734347	91.45488913317459	-279.99993070430395	-151.12766239449036	2008.666771809585
91.45800385308097	-280.0001235631966	-151.12804935456597	2008.5971197772071	91.45800385308097	-280.0001235631966	-151.12804937965967	2008.5971198524476
91.45880929426411	-280.0001560658916	-151.12776414850038	2008.5799802888646	91.45880929426411	-280.0001560658916	-151.12776417359453	2008.5799803641057
91.45675918036154	-280.0001553175778	-151.12830328861097	2008.629478439813	91.45675918036154	-280.0001553175779	-151.12830331370395	2008.6294785150526
91.45272840268542	-279.9999875128223	-151.12813392115407	2008.712008513692	91.45272840268542	-279.9999875128224	-151.12813394624493	2008.712008588928
91.45104472490804	-280.00004578966684	-151.12803362434607	2008.7508819863099	91.45104472490804	-280.00004578966684	-151.12803364943596	2008.7508820615446
91.45163635409041	-280.0002005035017	-151.12798857445142	2008.739177417038	91.45163635409041	-280.0002005035017	-151.1279885995416	2008.7391774922733
91.45307919665515	-280.000163803277	-151.12801621847157	2008.7088553430503	91.45307919665515	-280.000163803277	-151.12801624356248	2008.7088554182867
91.45497202356378	-280.0001612146529	-151.1280440166199	2008.6667111828394	91.45497202356378	-280.00016121465296	-151.1280440417119	2008.6667112580778
91.45726908041578	-280.0000698073316	-151.12804094813757	2008.6160481334482	91.45726908041578	-280.0000698073316	-151.12804097323084	2008.6160482086882
91.46284495916284	-280.00004778745665	-151.12790367732015	2008.4922700829948	91.46284495916284	-280.00004778745665	-151.12790370241646	2008.4922701582393
91.4679695454663	-280.0000854393992	-151.12831141774032	2008.3790943112936	91.4679695454663	-280.0000854393992	-151.1283114428395	2008.379094386542
91.46999611289203	-279.9999012407884	-151.12796861308334	2008.3341156222332	91.46999611289203	-279.9999012407884	-151.12796863818363	2008.3341156974836
91.46846460363699	-280.00000008217495	-151.12783693279852	2008.3677653499838	91.46846460363699	-280.00000008217495	-151.12783695789796	2008.3677654252326
