i0	p0	q0	v0	i1	p1	q1	v1
13.348170100037354	-486.64434596118247	-44.235229424729084	21116.361237804253	13.348170100037342	-486.644345961181	-44.235229424780066	21116.361237804464
14.279824617735375	-520.6476096883698	-46.25573537112994	21112.696772304513	14.279824617735361	-520.6476096883683	-46.25573537118863	21112.69677230473
14.91804597469538	-543.8143146554182	-46.48429861694853	21109.672128168648	14.918045974695366	-543.8143146554168	-46.48429861701279	21109.672128168866
15.077801162325526	-549.8113832936599	-46.70495582629641	21109.253250488473	15.077801162325514	-549.8113832936585	-46.70495582636215	21109.253250488695
16.053128726031296	-583.8935265986444	-58.88418524603253	21102.88404615645	16.053128726031282	-583.8935265986429	-58.88418524610727	21102.884046156734
18.68136526603784	-679.6639304657922	-66.21856954939369	21088.61602833542	18.681365266037826	-679.6639304657906	-66.21856954949592	21088.616028335724
22.493902439831473	-817.4982354150636	-80.4656619052843	21070.86842269623	22.493902439831455	-817.4982354150623	-80.46566190543369	21070.868422696607
28.173440273001916	-1021.4293263231878	-108.70921133713375	21034.77969844064	28.173440273001905	-1021.4293263231862	-108.70921133736965	21034.779698441158
32.13938017916309	-1164.3327670213694	-117.83730142718863	21015.620713734068	32.139380179163076	-1164.3327670213678	-117.83730142749613	21015.62071373463
31.012988907182603	-1123.947418277167	-113.04964542785926	21022.25370882359	31.01298890718259	-1123.9474182771655	-113.04964542814542	21022.253708824126
26.94542009437782	-977.1468885939362	-98.02108341569271	21045.440899183082	26.945420094377802	-977.1468885939346	-98.0210834159079	21045.440899183548
26.661045372078554	-966.732879581371	-96.7326989287827	21046.78366515585	26.66104537207854	-966.7328795813696	-96.73269892899319	21046.783665156316
28.970325941491406	-1049.639014336397	-110.47471163710138	21030.956208162686	28.970325941491396	-1049.6390143363956	-110.47471163735065	21030.95620816321
30.405145952463787	-1101.4407233767224	-114.98905564510495	21025.332832891683	30.405145952463773	-1101.440723376721	-114.98905564537978	21025.33283289223
30.57643630365138	-1107.6383295034084	-114.09587010672416	21024.003566536783	30.576436303651363	-1107.638329503407	-114.09587010700211	21024.00356653732
31.289045919159154	-1133.3522606507413	-116.37720391372812	21020.90367334423	31.289045919159136	-1133.3522606507397	-116.3772039140193	21020.90367334478
39.210663540086976	-1415.804537528673	-148.56894423913144	20970.031305081946	39.21066354008696	-1415.8045375286717	-148.56894423958965	20970.03130508265
46.05101103858396	-1659.3692547598666	-182.78420631425843	20927.116416596138	46.05101103858394	-1659.3692547598653	-182.78420631489223	20927.11641659701
49.260646850452545	-1774.0504109581757	-186.66191632590693	20904.327213339573	49.260646850452524	-1774.0504109581743	-186.66191632663222	20904.327213340464
46.615542355125505	-1679.3448029869894	-183.3232921215695	20925.0099191664	46.615542355125484	-1679.344802986988	-183.32329212221867	20925.009919167274
42.8088331002639	-1545.1012405988006	-161.58387939214	20949.848582987313	42.80883310026388	-1545.101240598799	-161.58387939268724	20949.84858298809
39.10450553984317	-1412.5228955977402	-148.72686339886792	20970.43387205417	39.10450553984315	-1412.5228955977389	-148.7268633993241	20970.433872054877
33.45369423850115	-1210.590990645199	-128.78259965959285	21006.814558787864	33.453694238501136	-1210.5909906451975	-128.78259965992612	21006.81455878848
31.012988907182603	-1123.947418277167	-113.04964542785926	21022.25370882359	31.01298890718259	-1123.9474182771655	-113.04964542814542	21022.253708824126
