i0	p0	q0	v0	i1	p1	q1	v1
0.0	0.0	0.0	149868.81924876274	9.890601037239149e-14	7.410958275497491e-12	1.2836156326767917e-11	149868.81924876274
0.0	0.0	0.0	149861.76277937106	9.890135345150514e-14	7.41026678759549e-12	1.2834958632303607e-11	149861.76277937106
0.0	0.0	0.0	149856.24689433514	9.889771324011808e-14	7.409717490922619e-12	1.2834007220564375e-11	149856.24689433514
0.0	0.0	0.0	149855.25515192185	9.889705873916281e-14	7.40961938067734e-12	1.2833837288631816e-11	149855.25515192185
0.0	0.0	0.0	149846.40922556724	9.889122086516121e-14	7.408731214925517e-12	1.2832298944213413e-11	149846.40922556724
0.0	0.0	0.0	149823.1904083248	9.887589759385109e-14	7.406379312823061e-12	1.2828225334204732e-11	149823.1904083248
0.0	0.0	0.0	149791.64019078104	9.885507601029432e-14	7.40324553975506e-12	1.2822797477232453e-11	149791.64019078104
0.0	0.0	0.0	149733.16366577634	9.881648439519941e-14	7.397543007306348e-12	1.2812920379811709e-11	149733.16366577634
0.0	0.0	0.0	149698.4503456372	9.879357532033087e-14	7.394088277765456e-12	1.2806936612212331e-11	149698.4503456372
0.0	0.0	0.0	149709.04883981348	9.880056980243786e-14	7.395163355125844e-12	1.2808798697731735e-11	149709.04883981348
0.0	0.0	0.0	149747.60016879186	9.882601177336827e-14	7.398960050060732e-12	1.281537477014438e-11	149747.60016879186
0.0	0.0	0.0	149750.07795431573	9.882764698929831e-14	7.39920138690565e-12	1.2815792778513656e-11	149750.07795431573
0.0	0.0	0.0	149725.46414445687	9.881140309183631e-14	7.396804329137264e-12	1.281164094645582e-11	149725.46414445687
0.0	0.0	0.0	149714.36089836725	9.8804075498425e-14	7.395711149045581e-12	1.280974750221196e-11	149714.36089836725
0.0	0.0	0.0	149712.46571626037	9.88028247719429e-14	7.395524395203745e-12	1.280942403506647e-11	149712.46571626037
0.0	0.0	0.0	149706.71485520373	9.879902948800084e-14	7.394930515607027e-12	1.280839540801214e-11	149706.71485520373
0.0	0.0	0.0	149626.7932060717	9.874628515134942e-14	7.387253651419278e-12	1.2795098670980848e-11	149626.7932060717
0.0	0.0	0.0	149558.2729577249	9.870106517546709e-14	7.380441273886508e-12	1.278329929017815e-11	149558.2729577249
0.0	0.0	0.0	149525.79879618983	9.867963383455897e-14	7.377351469471663e-12	1.2777947596262382e-11	149525.79879618983
0.0	0.0	0.0	149553.90775630143	9.869818435836805e-14	7.380011588869529e-12	1.278255505387709e-11	149553.90775630143
0.0	0.0	0.0	149593.18594287938	9.872410601937533e-14	7.383906596149947e-12	1.2789301403827923e-11	149593.18594287938
0.0	0.0	0.0	149627.45688187145	9.874672314456133e-14	7.38732091047415e-12	1.2795215166911484e-11	149627.45688187145
0.0	0.0	0.0	149685.640322459	9.878512133843288e-14	7.39282995051614e-12	1.2804757125945003e-11	149685.640322459
0.0	0.0	0.0	149709.04883981348	9.880056980243786e-14	7.395163355125844e-12	1.2808798697731735e-11	149709.04883981348
