source;ug_serv1_ac-load;ug_serv2_ac-load;ug_dc-load;ugs_dc-load;ugs_bess;ugs_1_pv;ugs_2_pv;rs_1_ac-load;rs_2_ac-load;ev-charge_ac-load;ev-fast_bess;ev-fast_pv;ev-fast_dc-load;user_ac-load;pros_1_ac-load;pros_bess;pros_dc-micro-wind;pros_pv;pros_dc-load;wpg_1_wind;wpg_2_wind;wpg_bess;wpg_pv
-420.4363623069663;40.00010698961404;60.00016048442107;4.000003447767122;4.000003447767121;10.000008619417805;0.0;0.0;20.000079729600262;30.00011959440039;20.00022586993147;-10.000107462484603;0.0;1.00001074624846;100.00187253929747;75.0003431495359;50.000568213873976;-3.000034092832438;0.0;0.6000068185664881;-41.99998661374421;-41.99998496495206;99.99999134671667;0.0
-418.5321830059785;39.600038136970284;59.40005720545541;4.00000122909786;4.00000122909786;10.000003072744649;0.0;0.0;19.80002458133061;29.700036871995916;19.800066198782783;-10.000031675074244;0.0;1.0000031675074244;99.00048853237462;74.25010445229051;50.00016681533798;-2.944454268014348;0.0;0.6000020017840557;-41.22223749423189;-41.22223946541011;100.00002360895571;0.0
-416.63688546464573;39.20003725027174;58.80005587540762;4.0000012116366355;4.000001211636635;10.000003029091587;0.0;0.0;19.600023619370837;29.40003542905626;19.60006305216123;-10.000030499075075;0.0;1.0000030499075074;98.0004703670222;73.50010040546897;50.00016069959362;-2.8888981737542974;0.0;0.6000019283951236;-40.444459099666865;-40.44446099050821;100.00002287960474;0.0
-414.7441221228335;38.8000364452747;58.20005466791203;4.000001201290901;4.000001201290901;10.000003003227253;0.0;0.0;19.40002363341138;29.10003545011707;19.400063586893097;-10.000031054509826;0.0;1.0000031054509826;97.00046740175618;72.75010043862609;50.00016355827894;-2.8333426016358056;0.0;0.6000019626993471;-39.66668070460513;-39.66668252163824;100.00002226064032;0.0
-412.8534067748283;38.40003561354999;57.60005342032498;4.00000118461688;4.000001184616881;10.000002961542203;0.0;0.0;19.20002265209422;28.80003397814132;19.200060299507694;-10.000029783869849;0.0;1.000002978386985;96.00044989413259;72.00009632663233;50.000156967220946;-2.7777864981789415;0.0;0.6000018836066515;-38.88890233521262;-38.888904074614295;100.0000215253844;0.0
-410.95534811930884;38.000034838136195;57.00005225720429;4.000001175810052;4.000001175810052;10.000002939525132;0.0;0.0;19.000022931351737;28.500034397027605;19.00006172348879;-10.000030777416793;0.0;1.000003077741679;95.0004503035566;71.25009746181257;50.000162096760135;-2.7222310474902742;0.0;0.6000019451611218;-38.11112396394239;-38.11112563378173;100.00002093527883;0.0
-409.078966502104;37.60003402602335;56.40005103903504;4.000001159034879;4.000001159034878;10.000002897587196;0.0;0.0;18.800021871554783;28.20003280733217;18.80005839725369;-10.00002945568073;0.0;1.0000029455680726;94.00043311391269;70.50009303921544;50.00015524095687;-2.6666749461843664;0.0;0.6000018628914826;-37.333345617184065;-37.333347212633626;100.00002019325098;0.0
-407.1841816224621;37.200033253930094;55.80004988089516;4.00000114717343;4.00000114717343;10.000002867933574;0.0;0.0;18.60002172898586;27.900032593478794;18.60005801214772;-10.000029569709655;0.0;1.0000029569709654;93.00042647559697;69.75009239899975;50.0001558133244;-2.611119248029163;0.0;0.6000018697598928;-36.555567278979005;-36.55556880531931;100.00001954786597;0.0
-405.2856831649949;36.800032481198784;55.200048721798154;4.000001133503293;4.000001133503293;10.000002833758234;0.0;0.0;18.40002125281572;27.600031879223575;18.400056557382317;-10.000029148122652;0.0;1.000002914812265;92.00041611102318;69.00009038432019;50.000153615069664;-2.555563406992449;0.0;0.6000018433808361;-35.777788954891264;-35.777790412330624;100.00001886596698;0.0
-403.40003458140563;36.40003172333223;54.600047584998336;4.000001120810536;4.000001120810536;10.00000280202634;0.0;0.0;18.2000208600229;27.300031290034347;18.20005564971399;-10.000028993304637;0.0;1.0000028993304637;91.00040814419484;68.25008873300551;50.00015279906749;-2.5000076399533744;0.0;0.60000183358881;-35.000010639621244;-35.00001203059812;100.00001819859847;0.0
-401.5050164330012;36.000030977038975;54.000046465558455;4.000001108232193;4.000001108232193;10.000002770580485;0.0;0.0;18.000020564897223;27.000030847345833;18.000054822300772;-10.000028878995039;0.0;1.0000028878995038;90.0004002249886;67.50008747245376;50.00015219387737;-2.444451885034005;0.0;0.6000018263265285;-34.222232339686315;-34.222233665683774;100.00001753662006;0.0
-399.6294782368401;35.600030226328656;53.40004533949299;4.000001093154342;4.000001093154342;10.000002732885854;0.0;0.0;17.800019811255808;26.700029716883712;17.800052577052504;-10.000028023659542;0.0;1.000002802365954;89.00038743024133;66.75008432039913;50.00014775164978;-2.3888959481343783;0.0;0.6000017730197974;-33.44445405346314;-33.444455314331336;100.00001682263591;0.0
-397.7401057056537;35.200029502242714;52.80004425336408;4.000001080926824;4.000001080926824;10.000002702317058;0.0;0.0;17.600019593182104;26.400029389773156;17.600051959022466;-10.000028005696835;0.0;1.0000028005696835;88.00038029285732;66.00008337123316;50.00014764128331;-2.3333402232598877;0.0;0.6000017716953997;-32.6666757790298;-32.666676978253605;100.00001616667208;0.0
-395.85469315687374;34.80002878557747;52.2000431783662;4.000001068372912;4.000001068372912;10.00000267093228;0.0;0.0;17.400019256148518;26.10002888422278;17.4000511344534;-10.000027876452377;0.0;1.0000027876452373;87.00037275606988;65.25008194719311;50.000146959119185;-2.2777844725820966;0.0;0.6000017635094301;-31.88889751581711;-31.88889865481528;100.00001550094149;0.0
