source,ug_serv1_ac-load,ug_serv2_ac-load,ug_dc-load,ugs_dc-load,ugs_bess,ugs_1_pv,ugs_2_pv,rs_1_ac-load,rs_2_ac-load,ev-charge_ac-load,ev-fast_bess,ev-fast_pv,ev-fast_dc-load,user_ac-load,pros_1_ac-load,pros_bess,pros_dc-micro-wind,pros_pv,pros_dc-load,wpg_1_wind,wpg_2_wind,wpg_bess,wpg_pv
-893.1174434819385,40.000022985676324,59.99959977727292,3.999957322270876,3.99991433272414,9.99999992721659,0.0,0.0,20.000209833300634,30.000265032444364,20.00020324424801,-10.000000000421728,0.0,1.00001382735929,100.00170702873241,75.00060388364017,50.00000000114859,-2.999996213252698,0.0,0.6000053775944972,-41.999981788624,-41.999728236704286,99.99999999925737,0.0
-420.42032723127704,39.60001490251451,59.40003275279621,4.0000000000001705,4.000000000000226,9.999999999999993,0.0,0.0,19.80000220055509,29.700004933376313,19.800002807492284,-10.000000000000863,0.0,1.0000000000000266,99.0003781561144,74.25003393207979,50.00000000004202,-2.944444342970264,0.0,0.6,-41.22223019038549,-41.222230074758365,100.00000000000117,0.0
-418.52925799388424,39.20001457599733,58.800032025983185,4.000000000000211,4.0000000000000195,10.000000000000002,0.0,0.0,19.600002160297944,29.40000484292974,19.600002756327704,-10.00000000000081,0.0,1.0,98.00037040083826,73.50003331481564,50.000000000040096,-2.8888887900236133,0.0,0.6000000000000001,-40.444452087910555,-40.44445196864275,100.00000000000045,0.0
-416.6340739662994,38.80001425361532,58.20003130848544,4.000000000000179,3.999999999999985,10.000000000000256,0.0,0.0,19.400002120493813,29.100004753506155,19.400002707772714,-10.000000000000595,0.0,1.0,97.00036272874112,72.75003270411123,50.000000000038284,-2.8333332370495423,0.0,0.6000000000000001,-39.66667399197661,-39.66667386929224,100.00000000000131,0.0
-414.74130997451016,38.40001393535042,57.60003060025065,4.000000000000057,4.000000000000041,10.000000000000085,0.0,0.0,19.200002081069627,28.80000466493982,19.200002657171858,-10.000000000000693,0.0,0.9999999999999982,96.0003551453614,72.00003209988726,50.00000000003645,-2.7777776840459065,0.0,0.6,-38.88889590258523,-38.88889577671958,100.00000000000114,0.0
-412.8507092038915,38.000013621186504,57.00002990125976,4.000000000000288,3.9999999999999813,9.999999999999954,0.0,0.0,19.00000204210524,28.500004577406525,19.000002609453638,-10.000000000000886,0.0,1.0000000000000002,95.00034764461265,71.25003150166465,50.00000000003474,-2.722222131015235,0.0,0.6,-38.111117819751954,-38.11111769092765,99.99999999999937,0.0
-410.952623266198,37.60001331109908,56.40002921144426,4.00000000000013,4.000000000000005,9.999999999999947,0.0,0.0,18.800002003494,28.200004490673088,18.800002560128217,-10.000000000000481,0.0,0.9999999999999842,94.0003402300222,70.50003091014102,50.00000000003312,-2.666666577955655,0.0,0.6000000000000001,-37.33333974347993,-37.33333961193613,99.99999999999405,0.0
-409.07635588492565,37.20001300508149,55.800028530793256,4.000000000000121,3.9999999999999876,10.00000000000011,0.0,0.0,18.60000196534929,27.90000440499044,18.600002512886007,-10.000000000000574,0.0,1.0000000000000138,93.00033289989065,69.7500303242681,50.0000000000315,-2.6111110248683946,0.0,0.6000000000000002,-36.55556167378796,-36.55556153974622,100.00000000000091,0.0
-407.1815991907645,36.800012703109836,55.20002785925364,4.00000000000006,4.000000000000076,10.00000000000029,0.0,0.0,18.400001927587894,27.600004320172268,18.400002465281272,-10.000000000000654,0.0,0.9999999999999998,92.0003256554748,69.00002974498395,50.00000000002999,-2.5555554717532325,0.0,0.5999999999999999,-35.7777836106747,-35.777783474370445,99.99999999999815,0.0
-405.28316000671816,36.40001240517176,54.600027196793945,4.0000000000001,4.0,10.0,0.0,0.0,18.200001890239356,27.3000042362845,18.200002418572353,-10.000000000000517,0.0,0.999999999999976,91.0003184946515,68.25002917175324,50.000000000028535,-2.4999999186101673,0.0,0.6000000000000002,-35.00000555415846,-35.00000541581835,99.99999999999747,0.0
-403.3975529107729,36.00001211124649,54.00002654336525,4.0000000000000675,3.9999999999999822,9.999999999999929,0.0,0.0,18.00000185329745,27.000004153313178,18.000002372273784,-10.000000000000448,0.0,1.0000000000000135,90.00031141837775,67.50002860466634,50.00000000002713,-2.444444365439547,0.0,0.6000000000000001,-34.22222750424714,-34.222227364099396,100.00000000000153,0.0
-401.502575042176,35.60001182131644,53.4000258989359,4.000000000000062,3.9999999999999494,10.000000000000174,0.0,0.0,17.800001816750527,26.700004071231632,17.800002325924467,-10.000000000000428,0.0,0.9999999999999949,89.00030442778763,66.75002804415794,50.00000000002578,-2.388888812240715,0.0,0.6000000000000001,-33.444449460951056,-33.44444931922457,100.00000000000259,0.0
-399.6271182555702,35.20001153536787,52.80002526346963,4.0000000000000835,3.9999999999999387,9.999999999999847,0.0,0.0,17.600001780638134,26.40000399012923,17.600002280833397,-10.00000000000064,0.0,1.000000000000011,88.00029752051104,66.00002748942711,50.000000000024514,-2.33333325901462,0.0,0.6000000000000001,-32.666671424282676,-32.66667128120148,99.9999999999994,0.0
-397.7377799654341,34.80001125338259,52.20002463692329,4.0000000000000595,4.0,10.0,0.0,0.0,17.400001744910057,26.100003909894447,17.40000223594474,-10.000000000000508,0.0,1.000000000000005,87.00029069713091,65.25002694074696,50.000000000023256,-2.2777777057610744,0.0,0.6,-31.88889339424346,-31.88889325003806,100.00000000000085,0.0
